guide_id,vienna_mfe_energy_spacer,vienna_ensemble_energy_spacer,vienna_seed_mfe_spacer,vienna_seed_ensemble_spacer,vienna_mean_unpaired_spacer,vienna_mfe_energy_full,vienna_ensemble_energy_full,vienna_seed_mfe_full,vienna_seed_ensemble_full,vienna_mean_unpaired_full,vienna_unpaired_spacer_01,vienna_unpaired_full_01,vienna_unpaired_spacer_02,vienna_unpaired_full_02,vienna_unpaired_spacer_03,vienna_unpaired_full_03,vienna_unpaired_spacer_04,vienna_unpaired_full_04,vienna_unpaired_spacer_05,vienna_unpaired_full_05,vienna_unpaired_spacer_06,vienna_unpaired_full_06,vienna_unpaired_spacer_07,vienna_unpaired_full_07,vienna_unpaired_spacer_08,vienna_unpaired_full_08,vienna_unpaired_spacer_09,vienna_unpaired_full_09,vienna_unpaired_spacer_10,vienna_unpaired_full_10,vienna_unpaired_spacer_11,vienna_unpaired_full_11,vienna_unpaired_spacer_12,vienna_unpaired_full_12,vienna_unpaired_spacer_13,vienna_unpaired_full_13,vienna_unpaired_spacer_14,vienna_unpaired_full_14,vienna_unpaired_spacer_15,vienna_unpaired_full_15,vienna_unpaired_spacer_16,vienna_unpaired_full_16,vienna_unpaired_spacer_17,vienna_unpaired_full_17,vienna_unpaired_spacer_18,vienna_unpaired_full_18,vienna_unpaired_spacer_19,vienna_unpaired_full_19,vienna_unpaired_spacer_20,vienna_unpaired_full_20
ENSDARG00000001244_13_1,0.0000,-0.3605,1.000000,0.893761,0.892602,-22.0300,-23.0662,0.500000,0.531833,0.509702,0.943729,0.008315,0.927882,0.006005,0.966571,0.005926,0.963825,0.005953,0.912048,0.015446,0.816420,0.060850,0.832484,0.953882,0.997410,0.992846,0.817175,0.979871,0.775819,0.975907,0.873976,0.976176,0.874604,0.958203,0.856382,0.962474,0.868382,0.041988,0.921870,0.028992,0.854370,0.046549,0.811778,0.977427,0.853462,0.981097,0.991802,0.982692,0.992044,0.233443
ENSDARG00000001244_13_2,0.0000,-0.6757,1.000000,0.970253,0.863586,-15.0200,-17.4921,0.375000,0.502748,0.623433,0.432237,0.296039,0.433366,0.295100,0.957627,0.952634,0.948301,0.715417,0.945822,0.732032,0.949539,0.940764,0.828877,0.839770,0.789091,0.658569,0.771497,0.649126,0.669388,0.708777,0.784986,0.803858,0.998956,0.854596,0.999760,0.316107,0.994930,0.216061,0.990729,0.197692,0.926847,0.332967,0.983866,0.687342,0.960880,0.951424,0.939646,0.962294,0.965368,0.358093
ENSDARG00000001244_13_3,-1.0700,-1.5363,0.875000,0.866673,0.674347,-16.4000,-18.7192,0.625000,0.586952,0.536542,0.235385,0.456307,0.906115,0.410003,0.156820,0.555963,0.194608,0.431745,0.414034,0.414625,0.904401,0.461058,0.986626,0.971396,0.950160,0.885590,0.400657,0.777444,0.188835,0.243092,0.231216,0.267215,0.984706,0.160778,0.295767,0.341668,0.925481,0.693673,0.921219,0.223112,0.923946,0.224704,0.927274,0.621655,0.972878,0.838666,0.976188,0.857213,0.990634,0.894929
ENSDARG00000001244_13_4,-1.1300,-2.0527,0.625000,0.711680,0.584718,-22.2300,-23.3902,0.250000,0.301165,0.420496,0.303127,0.972344,0.216195,0.969855,0.558226,0.989686,0.565824,0.992566,0.096927,0.031749,0.121465,0.009376,0.994203,0.011864,0.993640,0.010568,0.998140,0.010724,0.840884,0.018618,0.084420,0.991652,0.227859,0.991591,0.135348,0.991489,0.257536,0.019577,0.347700,0.016850,0.998151,0.066544,0.984918,0.984745,0.995480,0.251389,0.980334,0.016846,0.993975,0.061884
ENSDARG00000001244_13_5,0.0000,-0.9717,1.000000,0.756975,0.761638,-22.5500,-24.4720,0.500000,0.499715,0.244469,0.612928,0.004499,0.582447,0.001842,0.766475,0.002272,0.870172,0.001693,0.812154,0.005089,0.810505,0.005713,0.824924,0.027808,0.923724,0.032970,0.832277,0.194325,0.659904,0.155377,0.642978,0.135341,0.838472,0.324735,0.628036,0.125340,0.614803,0.161838,0.918053,0.350747,0.904221,0.377596,0.960594,0.878327,0.796366,0.896589,0.588605,0.605055,0.645124,0.602225
ENSDARG00000001244_13_6,-0.2800,-1.0754,0.500000,0.700949,0.741572,-19.8300,-22.1109,0.125000,0.195928,0.465750,0.905325,0.913829,0.881184,0.879670,0.895298,0.855357,0.954808,0.850970,0.984655,0.860614,0.515648,0.888487,0.515553,0.560971,0.518280,0.433403,0.786738,0.410124,0.396362,0.294502,0.891188,0.369823,0.978807,0.429820,0.884907,0.850707,0.902920,0.056661,0.653661,0.021010,0.910335,0.051420,0.496004,0.157493,0.455216,0.153856,0.403541,0.140650,0.901003,0.135626
ENSDARG00000001244_13_7,0.0000,-0.2490,1.000000,0.992671,0.937526,-22.1600,-23.4161,0.750000,0.758352,0.441229,0.971066,0.071049,0.965020,0.055216,0.937763,0.055083,0.999269,0.069673,0.785503,0.312586,0.760858,0.978140,0.978526,0.965785,0.986523,0.232277,0.999223,0.004079,0.979705,0.001391,0.755584,0.004960,0.690116,0.007528,0.979355,0.888388,0.996679,0.773126,0.992516,0.207512,0.995301,0.279029,0.987695,0.928029,0.993770,0.996389,0.996933,0.998548,0.999115,0.995795
ENSDARG00000001244_13_8,0.0000,-0.3831,1.000000,0.917742,0.878503,-20.2900,-22.3342,0.500000,0.539191,0.339663,0.929553,0.547102,0.800530,0.060380,0.684618,0.164727,0.709609,0.886546,0.776076,0.097631,0.985763,0.087810,0.976366,0.030534,0.982901,0.033096,0.978311,0.116697,0.843994,0.196166,0.754005,0.158501,0.806388,0.100540,0.994348,0.190129,0.976175,0.269759,0.972609,0.839232,0.978966,0.718356,0.800006,0.894964,0.803144,0.886530,0.819731,0.249465,0.996956,0.265094
ENSDARG00000001244_13_9,-3.4300,-4.2189,0.625000,0.555007,0.538166,-20.9300,-24.0861,0.500000,0.491489,0.314345,0.375238,0.840656,0.374072,0.269882,0.159064,0.147933,0.239663,0.098995,0.466536,0.155800,0.621571,0.141810,0.670931,0.227268,0.855929,0.135203,0.851908,0.103294,0.572281,0.103776,0.326201,0.062499,0.809862,0.067876,0.154159,0.062557,0.260501,0.059466,0.149807,0.007388,0.635738,0.928541,0.638738,0.928200,0.856709,0.928750,0.858903,0.976878,0.885501,0.040133
ENSDARG00000001244_13_10,-0.9500,-2.1085,0.250000,0.377195,0.451783,-18.1100,-20.7057,0.750000,0.479606,0.468324,0.631624,0.549080,0.196136,0.391937,0.138550,0.620981,0.109481,0.560682,0.120732,0.520185,0.416070,0.436208,0.229100,0.643137,0.666036,0.610601,0.992814,0.672471,0.998979,0.196354,0.988394,0.154806,0.530184,0.173193,0.093227,0.341879,0.301425,0.758043,0.290433,0.595185,0.128486,0.554931,0.170231,0.462533,0.312589,0.524173,0.726555,0.356945,0.994611,0.243159
ENSDARG00000002193_0_1,-1.7000,-2.9538,0.500000,0.551914,0.535047,-23.4400,-25.2590,0.250000,0.604980,0.395920,0.452419,0.008241,0.352428,0.001140,0.403080,0.001270,0.052083,0.002850,0.327341,0.984554,0.311097,0.983599,0.899521,0.076803,0.783375,0.015235,0.767739,0.015644,0.982832,0.017476,0.500139,0.113251,0.453571,0.858491,0.649977,0.871308,0.380221,0.653988,0.243961,0.578702,0.213384,0.787401,0.347926,0.489289,0.788836,0.436158,0.865228,0.437618,0.925782,0.585374
ENSDARG00000002193_0_2,-1.7400,-2.1776,0.750000,0.761471,0.587143,-18.5100,-20.3510,0.375000,0.488511,0.407926,0.119548,0.720187,0.966863,0.571892,0.086782,0.625446,0.065658,0.154945,0.091715,0.031867,0.632460,0.036052,0.990001,0.032849,0.993059,0.037050,0.974686,0.061281,0.597805,0.178721,0.052155,0.903055,0.080360,0.897077,0.095483,0.890129,0.993153,0.361477,0.099504,0.339505,0.988812,0.158455,0.982680,0.120659,0.970826,0.084763,0.976935,0.976644,0.984378,0.976459
ENSDARG00000002193_0_3,-1.5200,-1.6548,0.875000,0.879010,0.723446,-22.5600,-24.2975,0.875000,0.778086,0.435660,0.174584,0.413104,0.169275,0.036459,0.137098,0.001925,0.974096,0.000148,0.932493,0.000126,0.937606,0.001792,0.923509,0.002755,0.988612,0.993677,0.997575,0.986511,0.988674,0.021427,0.113855,0.016547,0.099461,0.014041,0.106496,0.031716,1.000000,0.990879,0.967892,0.506369,0.964606,0.817370,0.999977,0.964635,0.999981,0.973305,0.995967,0.980271,0.997156,0.960139
ENSDARG00000002193_0_4,-1.4300,-1.6328,1.000000,0.984829,0.813139,-18.8100,-20.2459,0.000000,0.116011,0.439973,0.242966,0.197329,0.226072,0.179102,0.883380,0.858852,0.895876,0.874339,0.998464,0.995574,0.999914,0.994585,0.199577,0.199134,0.186196,0.190887,0.981498,0.862144,0.898437,0.746581,0.871768,0.778929,1.000000,0.993916,0.997346,0.053909,1.000000,0.049542,0.977974,0.055885,0.968055,0.159644,1.000000,0.184746,0.963336,0.098022,0.972859,0.154737,0.999063,0.171603
ENSDARG00000002193_0_5,-3.6300,-4.0534,0.625000,0.668597,0.639442,-22.2900,-24.0482,0.625000,0.566953,0.443374,0.947254,0.592726,0.454500,0.334749,1.000000,0.648967,0.977913,0.337635,0.016102,0.032219,0.010373,0.016820,0.106003,0.016399,0.948533,0.045169,0.948135,0.888584,1.000000,0.849699,0.962043,0.328694,0.069215,0.240198,0.065942,0.664201,0.050936,0.660987,1.000000,0.200843,0.944404,0.154475,0.354348,0.152996,1.000000,0.984339,0.971728,0.860138,0.961416,0.857647
