guide_id,vienna_mfe_energy_spacer,vienna_ensemble_energy_spacer,vienna_seed_mfe_spacer,vienna_seed_ensemble_spacer,vienna_mean_unpaired_spacer,vienna_mfe_energy_full,vienna_ensemble_energy_full,vienna_seed_mfe_full,vienna_seed_ensemble_full,vienna_mean_unpaired_full,vienna_unpaired_spacer_01,vienna_unpaired_full_01,vienna_unpaired_spacer_02,vienna_unpaired_full_02,vienna_unpaired_spacer_03,vienna_unpaired_full_03,vienna_unpaired_spacer_04,vienna_unpaired_full_04,vienna_unpaired_spacer_05,vienna_unpaired_full_05,vienna_unpaired_spacer_06,vienna_unpaired_full_06,vienna_unpaired_spacer_07,vienna_unpaired_full_07,vienna_unpaired_spacer_08,vienna_unpaired_full_08,vienna_unpaired_spacer_09,vienna_unpaired_full_09,vienna_unpaired_spacer_10,vienna_unpaired_full_10,vienna_unpaired_spacer_11,vienna_unpaired_full_11,vienna_unpaired_spacer_12,vienna_unpaired_full_12,vienna_unpaired_spacer_13,vienna_unpaired_full_13,vienna_unpaired_spacer_14,vienna_unpaired_full_14,vienna_unpaired_spacer_15,vienna_unpaired_full_15,vienna_unpaired_spacer_16,vienna_unpaired_full_16,vienna_unpaired_spacer_17,vienna_unpaired_full_17,vienna_unpaired_spacer_18,vienna_unpaired_full_18,vienna_unpaired_spacer_19,vienna_unpaired_full_19,vienna_unpaired_spacer_20,vienna_unpaired_full_20
Doench2016-0,-2.6900,-3.1315,0.500000,0.570896,0.631210,-32.6900,-34.4913,0.625000,0.538749,0.248208,0.683695,0.054516,0.185638,0.034780,0.094685,0.010418,0.889230,0.041015,0.151940,0.091528,0.357895,0.024502,0.999753,0.027568,0.997088,0.102734,0.985543,0.129806,0.986512,0.112161,0.962276,0.022393,0.762783,0.002749,0.970732,0.010692,0.157669,0.646032,0.164599,0.998441,0.720107,0.998503,0.385884,0.997958,0.407412,0.646127,0.877976,0.010133,0.882789,0.002106
Doench2016-1,-2.3600,-3.4428,0.375000,0.576349,0.623894,-38.9500,-39.6027,0.750000,0.750300,0.406105,0.999682,0.999004,0.985190,0.998873,0.891744,0.034001,0.523877,0.001135,0.080465,0.000071,0.237237,0.033556,0.801293,0.047325,0.711747,0.003693,0.484098,0.000450,0.502541,0.000098,0.825152,0.000686,0.824070,0.000821,0.917191,0.006778,0.852967,0.034372,0.208669,0.995702,0.211163,0.996757,0.516218,0.999076,0.465153,0.997357,0.544923,0.988385,0.894508,0.983970
Doench2016-2,-4.4300,-4.5716,0.375000,0.396171,0.420001,-31.4000,-32.3031,0.250000,0.262146,0.573139,0.999987,0.986256,0.093623,0.970551,0.007345,0.903303,0.008552,0.932404,0.999993,0.921996,0.049452,0.858704,0.023253,0.870649,0.018152,0.899899,0.999868,0.944227,0.999906,0.950656,0.999986,0.117156,0.030541,0.009809,0.009021,0.008680,0.103042,0.095807,0.948472,0.998036,0.999519,0.074446,0.008458,0.009059,0.007299,0.000482,0.093575,0.061716,0.999985,0.848941
Doench2016-3,-0.9800,-1.6642,0.625000,0.583853,0.679890,-34.5200,-35.9607,0.125000,0.170131,0.347205,0.883020,0.936351,0.954540,0.410729,0.913533,0.391281,0.863534,0.415219,0.877546,0.636157,0.829358,0.339966,0.901746,0.526324,0.977068,0.455254,0.886672,0.164619,0.226609,0.230872,0.321719,0.994662,0.291640,0.081610,0.670411,0.293140,0.980989,0.042420,0.987102,0.002428,0.939455,0.000249,0.540817,0.000579,0.147862,0.000207,0.156072,0.022655,0.248113,0.999372
Doench2016-4,-9.3300,-9.3671,0.250000,0.250950,0.400760,-31.5000,-32.8037,0.250000,0.219632,0.377259,0.999998,0.943324,1.000000,0.935207,0.986402,0.914395,0.988840,0.955239,0.007522,0.011403,0.005665,0.009601,0.000552,0.000612,0.000016,0.000031,0.001017,0.001039,0.017598,0.017658,0.999989,0.999796,0.999999,0.999813,0.999999,0.999837,0.017608,0.017707,0.001027,0.001240,0.000009,0.000215,0.000542,0.000788,0.000053,0.000129,0.001958,0.001955,0.986403,0.735183
Doench2016-5,-1.0400,-1.4772,0.750000,0.771420,0.796281,-31.7200,-33.0723,0.750000,0.666835,0.477602,0.987996,0.576610,0.858666,0.586556,0.847198,0.238164,0.842826,0.596873,0.998859,0.517626,0.941606,0.121868,0.997169,0.033985,0.775847,0.207321,0.743787,0.233162,0.511508,0.267006,0.393509,0.328511,0.855295,0.509669,0.842722,0.573080,0.844831,0.655343,0.999876,0.776668,0.916009,0.850930,0.991377,0.996945,0.999790,0.785539,0.286094,0.356888,0.290661,0.339289
Doench2016-6,-0.0100,-0.7978,1.000000,0.955883,0.794750,-29.5500,-30.8511,0.500000,0.487681,0.593531,0.728755,0.782064,0.431452,0.757188,0.450544,0.745095,0.716690,0.747935,0.945368,0.612551,0.946038,0.840294,0.989510,0.902382,0.940306,0.917876,0.733143,0.766524,0.331900,0.139856,0.366208,0.673645,0.668022,0.083755,0.939816,0.000783,0.999304,0.003021,0.997968,0.874545,0.917012,0.991662,0.900588,0.139802,0.989517,0.139409,0.914901,0.882856,0.987958,0.869372
Doench2016-7,-2.2500,-3.0120,1.000000,0.923528,0.754926,-29.8900,-31.3470,0.750000,0.739159,0.491262,0.988522,0.978136,0.988193,0.953796,0.454364,0.491514,0.627359,0.395829,0.278849,0.137753,0.281695,0.107765,0.996019,0.557478,0.999007,0.154722,0.999617,0.093639,0.749921,0.019629,0.019590,0.006002,0.327166,0.015711,0.922535,0.033223,0.576636,0.962465,1.000000,0.965342,0.975063,0.967468,0.964135,0.960362,0.965062,0.961453,1.000000,0.999641,0.984794,0.063316
Doench2016-8,-2.6900,-2.9360,0.500000,0.550954,0.634518,-29.2900,-31.4513,1.000000,0.605317,0.372140,0.995749,0.997239,0.785155,0.042654,0.091724,0.028159,0.111530,0.020964,0.991285,0.051336,0.121236,0.039589,0.250593,0.093989,0.998684,0.101085,0.999821,0.134138,0.992940,0.145055,0.990859,0.258420,0.953156,0.687644,0.828822,0.656338,0.984314,0.815270,0.068530,0.511262,0.069352,0.540765,0.839874,0.541762,0.293591,0.617860,0.324813,0.591958,0.998337,0.567319
Doench2016-9,-4.2100,-4.5246,0.250000,0.356380,0.463232,-34.0700,-34.9413,0.625000,0.645058,0.460964,0.146763,0.993695,0.080222,0.956630,0.001782,0.025396,0.033483,0.004409,0.910955,0.003180,0.870374,0.998891,0.275859,0.028078,0.316119,0.018026,0.996929,0.988905,0.999802,0.013566,0.999908,0.014042,0.781407,0.014002,0.225604,0.726126,0.198123,0.790003,0.999908,0.999554,0.116792,0.967621,0.082631,0.275786,0.081057,0.207430,0.146982,0.199103,0.999940,0.994841
